areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,Scotland,S92000003,2022-06-01,820,1958838,725,1845481,95,113357
nation,Scotland,S92000003,2022-05-31,1229,1958018,1055,1844756,174,113262
nation,Scotland,S92000003,2022-05-30,1131,1956789,992,1843701,139,113088
nation,Scotland,S92000003,2022-05-29,951,1955658,844,1842709,107,112949
nation,Scotland,S92000003,2022-05-28,808,1954707,714,1841865,94,112842
nation,Scotland,S92000003,2022-05-27,864,1953899,749,1841151,115,112748
nation,Scotland,S92000003,2022-05-26,895,1953035,779,1840402,116,112633
nation,Scotland,S92000003,2022-05-25,1048,1952140,894,1839623,154,112517
nation,Scotland,S92000003,2022-05-24,1032,1951092,880,1838729,152,112363
nation,Scotland,S92000003,2022-05-23,1013,1950060,865,1837849,148,112211
nation,Scotland,S92000003,2022-05-22,816,1949047,725,1836984,91,112063
nation,Scotland,S92000003,2022-05-21,746,1948231,656,1836259,90,111972
nation,Scotland,S92000003,2022-05-20,746,1947485,658,1835603,88,111882
nation,Scotland,S92000003,2022-05-19,799,1946739,695,1834945,104,111794
nation,Scotland,S92000003,2022-05-18,909,1945940,783,1834250,126,111690
nation,Scotland,S92000003,2022-05-17,1063,1945031,890,1833467,173,111564
nation,Scotland,S92000003,2022-05-16,1110,1943968,942,1832577,168,111391
nation,Scotland,S92000003,2022-05-15,921,1942858,788,1831635,133,111223
nation,Scotland,S92000003,2022-05-14,739,1941937,653,1830847,86,111090
nation,Scotland,S92000003,2022-05-13,867,1941198,742,1830194,125,111004
nation,Scotland,S92000003,2022-05-12,982,1940331,854,1829452,128,110879
nation,Scotland,S92000003,2022-05-11,1093,1939349,941,1828598,152,110751
nation,Scotland,S92000003,2022-05-10,1169,1938256,1020,1827657,149,110599
nation,Scotland,S92000003,2022-05-09,1355,1937087,1181,1826637,174,110450
nation,Scotland,S92000003,2022-05-08,1018,1935732,876,1825456,142,110276
nation,Scotland,S92000003,2022-05-07,840,1934714,730,1824580,110,110134
nation,Scotland,S92000003,2022-05-06,1043,1933874,895,1823850,148,110024
nation,Scotland,S92000003,2022-05-05,1210,1932831,1040,1822955,170,109876
nation,Scotland,S92000003,2022-05-04,1422,1931621,1231,1821915,191,109706
nation,Scotland,S92000003,2022-05-03,1632,1930199,1406,1820684,226,109515
nation,Scotland,S92000003,2022-05-02,1176,1928567,1010,1819278,166,109289
nation,Scotland,S92000003,2022-05-01,995,1927391,872,1818268,123,109123
nation,Scotland,S92000003,2022-04-30,1214,1926396,1067,1817396,147,109000
nation,Scotland,S92000003,2022-04-29,1647,1925182,1454,1816329,193,108853
nation,Scotland,S92000003,2022-04-28,2116,1923535,1834,1814875,282,108660
nation,Scotland,S92000003,2022-04-27,2453,1921419,2125,1813041,328,108378
nation,Scotland,S92000003,2022-04-26,2745,1918966,2394,1810916,351,108050
nation,Scotland,S92000003,2022-04-25,3102,1916221,2669,1808522,433,107699
nation,Scotland,S92000003,2022-04-24,2300,1913119,1991,1805853,309,107266
nation,Scotland,S92000003,2022-04-23,2139,1910819,1920,1803862,219,106957
nation,Scotland,S92000003,2022-04-22,2548,1908680,2234,1801942,314,106738
nation,Scotland,S92000003,2022-04-21,3185,1906132,2800,1799708,385,106424
nation,Scotland,S92000003,2022-04-20,3636,1902947,3182,1796908,454,106039
nation,Scotland,S92000003,2022-04-19,4243,1899311,3655,1793726,588,105585
nation,Scotland,S92000003,2022-04-18,3880,1895068,3415,1790071,465,104997
nation,Scotland,S92000003,2022-04-17,3301,1891188,2953,1786656,348,104532
nation,Scotland,S92000003,2022-04-16,3222,1887887,2897,1783703,325,104184
nation,Scotland,S92000003,2022-04-15,3631,1884665,3249,1780806,382,103859
nation,Scotland,S92000003,2022-04-14,4320,1881034,3872,1777557,448,103477
nation,Scotland,S92000003,2022-04-13,5135,1876714,4609,1773685,526,103029
nation,Scotland,S92000003,2022-04-12,5304,1871579,4706,1769076,598,102503
nation,Scotland,S92000003,2022-04-11,5544,1866275,4898,1764370,646,101905
nation,Scotland,S92000003,2022-04-10,4388,1860731,3919,1759472,469,101259
nation,Scotland,S92000003,2022-04-09,4086,1856343,3672,1755553,414,100790
nation,Scotland,S92000003,2022-04-08,4602,1852257,4095,1751881,507,100376
nation,Scotland,S92000003,2022-04-07,5671,1847655,5082,1747786,589,99869
nation,Scotland,S92000003,2022-04-06,6420,1841984,5704,1742704,716,99280
nation,Scotland,S92000003,2022-04-05,7012,1835564,6269,1737000,743,98564
nation,Scotland,S92000003,2022-04-04,6791,1828552,6034,1730731,757,97821
nation,Scotland,S92000003,2022-04-03,5319,1821761,4765,1724697,554,97064
nation,Scotland,S92000003,2022-04-02,4854,1816442,4368,1719932,486,96510
nation,Scotland,S92000003,2022-04-01,5611,1811588,5054,1715564,557,96024
nation,Scotland,S92000003,2022-03-31,6770,1805977,6019,1710510,751,95467
nation,Scotland,S92000003,2022-03-30,8144,1799207,7252,1704491,892,94716
nation,Scotland,S92000003,2022-03-29,9750,1791063,8734,1697239,1016,93824
nation,Scotland,S92000003,2022-03-28,10260,1781313,9091,1688505,1169,92808
nation,Scotland,S92000003,2022-03-27,7824,1771053,7041,1679414,783,91639
nation,Scotland,S92000003,2022-03-26,7216,1763229,6524,1672373,692,90856
nation,Scotland,S92000003,2022-03-25,8814,1756013,7949,1665849,865,90164
nation,Scotland,S92000003,2022-03-24,10379,1747199,9313,1657900,1066,89299
nation,Scotland,S92000003,2022-03-23,11769,1736820,10469,1648587,1300,88233
nation,Scotland,S92000003,2022-03-22,12339,1725051,11013,1638118,1326,86933
nation,Scotland,S92000003,2022-03-21,13644,1712712,12119,1627105,1525,85607
nation,Scotland,S92000003,2022-03-20,10509,1699068,9519,1614986,990,84082
nation,Scotland,S92000003,2022-03-19,9158,1688559,8323,1605467,835,83092
nation,Scotland,S92000003,2022-03-18,9866,1679401,8894,1597144,972,82257
nation,Scotland,S92000003,2022-03-17,11421,1669535,10259,1588250,1162,81285
nation,Scotland,S92000003,2022-03-16,13457,1658114,12119,1577991,1338,80123
nation,Scotland,S92000003,2022-03-15,14803,1644657,13270,1565872,1533,78785
nation,Scotland,S92000003,2022-03-14,15277,1629854,13629,1552602,1648,77252
nation,Scotland,S92000003,2022-03-13,12133,1614577,10914,1538973,1219,75604
nation,Scotland,S92000003,2022-03-12,10080,1602444,9183,1528059,897,74385
nation,Scotland,S92000003,2022-03-11,11413,1592364,10362,1518876,1051,73488
nation,Scotland,S92000003,2022-03-10,12498,1580951,11250,1508514,1248,72437
nation,Scotland,S92000003,2022-03-09,13938,1568453,12564,1497264,1374,71189
nation,Scotland,S92000003,2022-03-08,13585,1554515,12265,1484700,1320,69815
nation,Scotland,S92000003,2022-03-07,13337,1540930,11972,1472435,1365,68495
nation,Scotland,S92000003,2022-03-06,10047,1527593,9118,1460463,929,67130
nation,Scotland,S92000003,2022-03-05,7707,1517546,7025,1451345,682,66201
nation,Scotland,S92000003,2022-03-04,8105,1509839,7317,1444320,788,65519
nation,Scotland,S92000003,2022-03-03,9019,1501734,8200,1437003,819,64731
nation,Scotland,S92000003,2022-03-02,9364,1492715,8494,1428803,870,63912
nation,Scotland,S92000003,2022-03-01,9450,1483351,8500,1420309,950,63042
nation,Scotland,S92000003,2022-02-28,9264,1473901,8423,1411809,841,62092
nation,Scotland,S92000003,2022-02-27,6516,1464637,5995,1403386,521,61251
nation,Scotland,S92000003,2022-02-26,5384,1458121,4947,1397391,437,60730
nation,Scotland,S92000003,2022-02-25,5977,1452737,5459,1392444,518,60293
nation,Scotland,S92000003,2022-02-24,6153,1446760,5631,1386985,522,59775
nation,Scotland,S92000003,2022-02-23,7238,1440607,6562,1381354,676,59253
nation,Scotland,S92000003,2022-02-22,7667,1433369,7029,1374792,638,58577
nation,Scotland,S92000003,2022-02-21,8145,1425702,7442,1367763,703,57939
nation,Scotland,S92000003,2022-02-20,6314,1417557,5801,1360321,513,57236
nation,Scotland,S92000003,2022-02-19,5482,1411243,5019,1354520,463,56723
nation,Scotland,S92000003,2022-02-18,5943,1405761,5427,1349501,516,56260
nation,Scotland,S92000003,2022-02-17,7248,1399818,6548,1344074,700,55744
nation,Scotland,S92000003,2022-02-16,7943,1392570,7281,1337526,662,55044
nation,Scotland,S92000003,2022-02-15,8216,1384627,7497,1330245,719,54382
nation,Scotland,S92000003,2022-02-14,7805,1376411,7164,1322748,641,53663
nation,Scotland,S92000003,2022-02-13,6064,1368606,5591,1315584,473,53022
nation,Scotland,S92000003,2022-02-12,5412,1362542,4976,1309993,436,52549
nation,Scotland,S92000003,2022-02-11,6107,1357130,5630,1305017,477,52113
nation,Scotland,S92000003,2022-02-10,6768,1351023,6181,1299387,587,51636
nation,Scotland,S92000003,2022-02-09,8217,1344255,7495,1293206,722,51049
nation,Scotland,S92000003,2022-02-08,8566,1336038,7832,1285711,734,50327
nation,Scotland,S92000003,2022-02-07,7783,1327472,7087,1277879,696,49593
nation,Scotland,S92000003,2022-02-06,6064,1319689,5586,1270792,478,48897
nation,Scotland,S92000003,2022-02-05,5287,1313625,4864,1265206,423,48419
nation,Scotland,S92000003,2022-02-04,5972,1308338,5500,1260342,472,47996
nation,Scotland,S92000003,2022-02-03,7179,1302366,6548,1254842,631,47524
nation,Scotland,S92000003,2022-02-02,7973,1295187,7291,1248294,682,46893
nation,Scotland,S92000003,2022-02-01,8412,1287214,7700,1241003,712,46211
nation,Scotland,S92000003,2022-01-31,8929,1278802,8122,1233303,807,45499
nation,Scotland,S92000003,2022-01-30,6958,1269873,6399,1225181,559,44692
nation,Scotland,S92000003,2022-01-29,5492,1262915,5072,1218782,420,44133
nation,Scotland,S92000003,2022-01-28,6597,1257423,6105,1213710,492,43713
nation,Scotland,S92000003,2022-01-27,7109,1250826,6535,1207605,574,43221
nation,Scotland,S92000003,2022-01-26,8184,1243717,7556,1201070,628,42647
nation,Scotland,S92000003,2022-01-25,8454,1235533,7782,1193514,672,42019
nation,Scotland,S92000003,2022-01-24,9491,1227079,8754,1185732,737,41347
nation,Scotland,S92000003,2022-01-23,7360,1217588,6762,1176978,598,40610
nation,Scotland,S92000003,2022-01-22,6117,1210228,5678,1170216,439,40012
nation,Scotland,S92000003,2022-01-21,6659,1204111,6187,1164538,472,39573
nation,Scotland,S92000003,2022-01-20,7088,1197452,6570,1158351,518,39101
nation,Scotland,S92000003,2022-01-19,7904,1190364,7269,1151781,635,38583
nation,Scotland,S92000003,2022-01-18,8548,1182460,7864,1144512,684,37948
nation,Scotland,S92000003,2022-01-17,9173,1173912,8415,1136648,758,37264
nation,Scotland,S92000003,2022-01-16,7095,1164739,6582,1128233,513,36506
nation,Scotland,S92000003,2022-01-15,5803,1157644,5352,1121651,451,35993
nation,Scotland,S92000003,2022-01-14,6514,1151841,6038,1116299,476,35542
nation,Scotland,S92000003,2022-01-13,7290,1145327,6767,1110261,523,35066
nation,Scotland,S92000003,2022-01-12,7683,1138037,7111,1103494,572,34543
nation,Scotland,S92000003,2022-01-11,8301,1130354,7617,1096383,684,33971
nation,Scotland,S92000003,2022-01-10,9403,1122053,8636,1088766,767,33287
nation,Scotland,S92000003,2022-01-09,7691,1112650,7126,1080130,565,32520
nation,Scotland,S92000003,2022-01-08,7292,1104959,6690,1073004,602,31955
nation,Scotland,S92000003,2022-01-07,9132,1097667,8386,1066314,746,31353
nation,Scotland,S92000003,2022-01-06,13900,1088535,12738,1057928,1162,30607
nation,Scotland,S92000003,2022-01-05,22564,1074635,20604,1045190,1960,29445
nation,Scotland,S92000003,2022-01-04,19852,1052071,17861,1024586,1991,27485
nation,Scotland,S92000003,2022-01-03,19518,1032219,17747,1006725,1771,25494
nation,Scotland,S92000003,2022-01-02,15692,1012701,14305,988978,1387,23723
nation,Scotland,S92000003,2022-01-01,7363,997009,6790,974673,573,22336
nation,Scotland,S92000003,2021-12-31,17772,989646,16161,967883,1611,21763
nation,Scotland,S92000003,2021-12-30,22179,971874,20170,951722,2009,20152
nation,Scotland,S92000003,2021-12-29,23539,949695,21430,931552,2109,18143
nation,Scotland,S92000003,2021-12-28,19858,926156,18267,910122,1591,16034
nation,Scotland,S92000003,2021-12-27,18761,906298,17294,891855,1467,14443
nation,Scotland,S92000003,2021-12-26,7487,887537,6977,874561,510,12976
nation,Scotland,S92000003,2021-12-25,4849,880050,4518,867584,331,12466
nation,Scotland,S92000003,2021-12-24,9698,875201,8943,863066,755,12135
nation,Scotland,S92000003,2021-12-23,12413,865503,11327,854123,1086,11380
nation,Scotland,S92000003,2021-12-22,11912,853090,10903,842796,1009,10294
nation,Scotland,S92000003,2021-12-21,10540,841178,9738,831893,802,9285
nation,Scotland,S92000003,2021-12-20,8651,830638,8090,822155,561,8483
nation,Scotland,S92000003,2021-12-19,5607,821987,5275,814065,332,7922
nation,Scotland,S92000003,2021-12-18,5206,816380,4920,808790,286,7590
nation,Scotland,S92000003,2021-12-17,5879,811174,5602,803870,277,7304
nation,Scotland,S92000003,2021-12-16,6649,805295,6269,798268,380,7027
nation,Scotland,S92000003,2021-12-15,7217,798646,6847,791999,370,6647
nation,Scotland,S92000003,2021-12-14,6564,791429,6259,785152,305,6277
nation,Scotland,S92000003,2021-12-13,5793,784865,5602,778893,191,5972
nation,Scotland,S92000003,2021-12-12,3414,779072,3327,773291,87,5781
nation,Scotland,S92000003,2021-12-11,3319,775658,3231,769964,88,5694
nation,Scotland,S92000003,2021-12-10,3803,772339,3722,766733,81,5606
nation,Scotland,S92000003,2021-12-09,4072,768536,3965,763011,107,5525
nation,Scotland,S92000003,2021-12-08,4219,764464,4127,759046,92,5418
nation,Scotland,S92000003,2021-12-07,3811,760245,3722,754919,89,5326
nation,Scotland,S92000003,2021-12-06,3823,756434,3767,751197,56,5237
nation,Scotland,S92000003,2021-12-05,2530,752611,2485,747430,45,5181
nation,Scotland,S92000003,2021-12-04,2150,750081,2123,744945,27,5136
nation,Scotland,S92000003,2021-12-03,2666,747931,2642,742822,24,5109
nation,Scotland,S92000003,2021-12-02,2968,745265,2929,740180,39,5085
nation,Scotland,S92000003,2021-12-01,3127,742297,3095,737251,32,5046
nation,Scotland,S92000003,2021-11-30,3334,739170,3295,734156,39,5014
nation,Scotland,S92000003,2021-11-29,3478,735836,3457,730861,21,4975
nation,Scotland,S92000003,2021-11-28,2344,732358,2332,727404,12,4954
nation,Scotland,S92000003,2021-11-27,1898,730014,1884,725072,14,4942
nation,Scotland,S92000003,2021-11-26,2254,728116,2236,723188,18,4928
nation,Scotland,S92000003,2021-11-25,2511,725862,2492,720952,19,4910
nation,Scotland,S92000003,2021-11-24,2924,723351,2896,718460,28,4891
nation,Scotland,S92000003,2021-11-23,2918,720427,2883,715564,35,4863
nation,Scotland,S92000003,2021-11-22,3188,717509,3161,712681,27,4828
nation,Scotland,S92000003,2021-11-21,2187,714321,2175,709520,12,4801
nation,Scotland,S92000003,2021-11-20,2236,712134,2213,707345,23,4789
nation,Scotland,S92000003,2021-11-19,2804,709898,2785,705132,19,4766
nation,Scotland,S92000003,2021-11-18,3014,707094,2992,702347,22,4747
nation,Scotland,S92000003,2021-11-17,3341,704080,3318,699355,23,4725
nation,Scotland,S92000003,2021-11-16,3311,700739,3281,696037,30,4702
nation,Scotland,S92000003,2021-11-15,3681,697428,3643,692756,38,4672
nation,Scotland,S92000003,2021-11-14,2441,693747,2423,689113,18,4634
nation,Scotland,S92000003,2021-11-13,2334,691306,2322,686690,12,4616
nation,Scotland,S92000003,2021-11-12,2877,688972,2856,684368,21,4604
nation,Scotland,S92000003,2021-11-11,3242,686095,3217,681512,25,4583
nation,Scotland,S92000003,2021-11-10,3318,682853,3296,678295,22,4558
nation,Scotland,S92000003,2021-11-09,3484,679535,3458,674999,26,4536
nation,Scotland,S92000003,2021-11-08,3853,676051,3825,671541,28,4510
nation,Scotland,S92000003,2021-11-07,2312,672198,2301,667716,11,4482
nation,Scotland,S92000003,2021-11-06,2228,669886,2217,665415,11,4471
nation,Scotland,S92000003,2021-11-05,2792,667658,2772,663198,20,4460
nation,Scotland,S92000003,2021-11-04,2820,664866,2798,660426,22,4440
nation,Scotland,S92000003,2021-11-03,3007,662046,2983,657628,24,4418
nation,Scotland,S92000003,2021-11-02,3068,659039,3043,654645,25,4394
nation,Scotland,S92000003,2021-11-01,3323,655971,3299,651602,24,4369
nation,Scotland,S92000003,2021-10-31,2087,652648,2071,648303,16,4345
nation,Scotland,S92000003,2021-10-30,2047,650561,2029,646232,18,4329
nation,Scotland,S92000003,2021-10-29,2566,648514,2547,644203,19,4311
nation,Scotland,S92000003,2021-10-28,2526,645948,2497,641656,29,4292
nation,Scotland,S92000003,2021-10-27,2685,643422,2651,639159,34,4263
nation,Scotland,S92000003,2021-10-26,2946,640737,2917,636508,29,4229
nation,Scotland,S92000003,2021-10-25,3318,637791,3296,633591,22,4200
nation,Scotland,S92000003,2021-10-24,2335,634473,2319,630295,16,4178
nation,Scotland,S92000003,2021-10-23,2154,632138,2132,627976,22,4162
nation,Scotland,S92000003,2021-10-22,2463,629984,2445,625844,18,4140
nation,Scotland,S92000003,2021-10-21,2555,627521,2536,623399,19,4122
nation,Scotland,S92000003,2021-10-20,2863,624966,2840,620863,23,4103
nation,Scotland,S92000003,2021-10-19,2781,622103,2764,618023,17,4080
nation,Scotland,S92000003,2021-10-18,2982,619322,2950,615259,32,4063
nation,Scotland,S92000003,2021-10-17,2316,616340,2299,612309,17,4031
nation,Scotland,S92000003,2021-10-16,2161,614024,2149,610010,12,4014
nation,Scotland,S92000003,2021-10-15,2584,611863,2568,607861,16,4002
nation,Scotland,S92000003,2021-10-14,2695,609279,2673,605293,22,3986
nation,Scotland,S92000003,2021-10-13,2659,606584,2631,602620,28,3964
nation,Scotland,S92000003,2021-10-12,2644,603925,2621,599989,23,3936
nation,Scotland,S92000003,2021-10-11,2838,601281,2813,597368,25,3913
nation,Scotland,S92000003,2021-10-10,1892,598443,1879,594555,13,3888
nation,Scotland,S92000003,2021-10-09,2147,596551,2129,592676,18,3875
nation,Scotland,S92000003,2021-10-08,2302,594404,2279,590547,23,3857
nation,Scotland,S92000003,2021-10-07,2614,592102,2593,588268,21,3834
nation,Scotland,S92000003,2021-10-06,2658,589488,2638,585675,20,3813
nation,Scotland,S92000003,2021-10-05,2851,586830,2831,583037,20,3793
nation,Scotland,S92000003,2021-10-04,2970,583979,2945,580206,25,3773
nation,Scotland,S92000003,2021-10-03,1994,581009,1979,577261,15,3748
nation,Scotland,S92000003,2021-10-02,1873,579015,1860,575282,13,3733
nation,Scotland,S92000003,2021-10-01,2048,577142,2040,573422,8,3720
nation,Scotland,S92000003,2021-09-30,2377,575094,2361,571382,16,3712
nation,Scotland,S92000003,2021-09-29,2609,572717,2586,569021,23,3696
nation,Scotland,S92000003,2021-09-28,3207,570108,3175,566435,32,3673
nation,Scotland,S92000003,2021-09-27,3135,566901,3112,563260,23,3641
nation,Scotland,S92000003,2021-09-26,2151,563766,2135,560148,16,3618
